,,,-161.72000323E-6,-3.20000005,,,,,-161.72000323E-6,659.999966621E-3,,,,,-161.72000323E-6,-2.3999999,
,,,-161.68000002E-6,-3.00000000,,,,,-161.68000002E-6,639.999985695E-3,,,,,-161.68000002E-6,-2.5599999,
,,,-161.63999680E-6,-3.20000005,,,,,-161.63999680E-6,659.999966621E-3,,,,,-161.63999680E-6,-2.6399999,
,,,-161.60000814E-6,-3.20000005,,,,,-161.60000814E-6,659.999966621E-3,,,,,-161.60000814E-6,-2.5599999,
,,,-161.56000493E-6,-3.60000014,,,,,-161.56000493E-6,659.999966621E-3,,,,,-161.56000493E-6,-2.5599999,
,,,-161.52000171E-6,-3.60000014,,,,,-161.52000171E-6,659.999966621E-3,,,,,-161.52000171E-6,-2.6399999,
,,,-161.47999850E-6,-3.60000014,,,,,-161.47999850E-6,659.999966621E-3,,,,,-161.47999850E-6,-2.6399999,
,,,-161.43999528E-6,-3.79999995,,,,,-161.43999528E-6,639.999985695E-3,,,,,-161.43999528E-6,-2.5599999,
,,,-161.40000662E-6,-4.00000000,,,,,-161.40000662E-6,639.999985695E-3,,,,,-161.40000662E-6,-2.6399999,
,,,-161.36000340E-6,-4.20000029,,,,,-161.36000340E-6,620.000004768E-3,,,,,-161.36000340E-6,-2.4800000,
,,,-161.32000019E-6,-4.20000029,,,,,-161.32000019E-6,639.999985695E-3,,,,,-161.32000019E-6,-2.6399999,
,,,-161.27999697E-6,-4.40000010,,,,,-161.27999697E-6,639.999985695E-3,,,,,-161.27999697E-6,-2.5599999,
,,,-161.24000831E-6,-4.40000010,,,,,-161.24000831E-6,639.999985695E-3,,,,,-161.24000831E-6,-2.5599999,
,,,-161.20000510E-6,-4.40000010,,,,,-161.20000510E-6,620.000004768E-3,,,,,-161.20000510E-6,-2.5599999,
,,,-161.16000188E-6,-4.40000010,,,,,-161.16000188E-6,639.999985695E-3,,,,,-161.16000188E-6,-2.5599999,
,,,-161.11999867E-6,-5.00000000,,,,,-161.11999867E-6,599.999964237E-3,,,,,-161.11999867E-6,-2.5599999,
,,,-161.07999545E-6,-4.80000019,,,,,-161.07999545E-6,620.000004768E-3,,,,,-161.07999545E-6,-2.5599999,
,,,-161.04000679E-6,-5.20000029,,,,,-161.04000679E-6,620.000004768E-3,,,,,-161.04000679E-6,-2.5599999,
