,,,-163.63999748E-6,2.3199999,,,,,-163.63999748E-6,456.000030041E-3,,,,,-163.63999748E-6,-2.5599999,
,,,-163.60000882E-6,2.3199999,,,,,-163.60000882E-6,448.000013828E-3,,,,,-163.60000882E-6,-2.5599999,
,,,-163.56000560E-6,2.0799999,,,,,-163.56000560E-6,456.000030041E-3,,,,,-163.56000560E-6,-2.5599999,
,,,-163.52000239E-6,2.1599998,,,,,-163.52000239E-6,440.000027418E-3,,,,,-163.52000239E-6,-2.5599999,
,,,-163.47999917E-6,2.0799999,,,,,-163.47999917E-6,456.000030041E-3,,,,,-163.47999917E-6,-2.5599999,
,,,-163.43999596E-6,2.0000000,,,,,-163.43999596E-6,464.000016451E-3,,,,,-163.43999596E-6,-2.5599999,
,,,-163.40000730E-6,1.9200000,,,,,-163.40000730E-6,464.000016451E-3,,,,,-163.40000730E-6,-2.6399999,
,,,-163.36000408E-6,1.8399999,,,,,-163.36000408E-6,464.000016451E-3,,,,,-163.36000408E-6,-2.4800000,
,,,-163.32000087E-6,1.6799999,,,,,-163.32000087E-6,472.000032663E-3,,,,,-163.32000087E-6,-2.5599999,
,,,-163.27999765E-6,1.6799999,,,,,-163.27999765E-6,448.000013828E-3,,,,,-163.27999765E-6,-2.4800000,
,,,-163.24000899E-6,1.5200000,,,,,-163.24000899E-6,464.000016451E-3,,,,,-163.24000899E-6,-2.4800000,
,,,-163.20000577E-6,1.4399999,,,,,-163.20000577E-6,464.000016451E-3,,,,,-163.20000577E-6,-2.5599999,
,,,-163.16000256E-6,1.2800000,,,,,-163.16000256E-6,472.000032663E-3,,,,,-163.16000256E-6,-2.5599999,
,,,-163.11999934E-6,1.3600000,,,,,-163.11999934E-6,480.000019073E-3,,,,,-163.11999934E-6,-2.5599999,
,,,-163.07999613E-6,1.2800000,,,,,-163.07999613E-6,472.000032663E-3,,,,,-163.07999613E-6,-2.5599999,
,,,-163.04000746E-6,1.1999999,,,,,-163.04000746E-6,464.000016451E-3,,,,,-163.04000746E-6,-2.5599999,
,,,-163.00000425E-6,959.999978542E-3,,,,,-163.00000425E-6,464.000016451E-3,,,,,-163.00000425E-6,-2.5599999,
,,,-162.96000103E-6,959.999978542E-3,,,,,-162.96000103E-6,472.000032663E-3,,,,,-162.96000103E-6,-2.5599999,
,,,-162.91999782E-6,879.999995232E-3,,,,,-162.91999782E-6,472.000032663E-3,,,,,-162.91999782E-6,-2.5599999,
,,,-162.88000916E-6,959.999978542E-3,,,,,-162.88000916E-6,472.000032663E-3,,,,,-162.88000916E-6,-2.6399999,
,,,-162.84000594E-6,639.999985695E-3,,,,,-162.84000594E-6,472.000032663E-3,,,,,-162.84000594E-6,-2.6399999,
,,,-162.80000273E-6,639.999985695E-3,,,,,-162.80000273E-6,472.000032663E-3,,,,,-162.80000273E-6,-2.5599999,
